workerId,status,Age,Education,Gender,AI.Knowledge,AI.Knowledge.2,judgment,agent,Response,experiment,outcome,modality
A14W0AXTJ3R19V,active,25 - 34,undergraduate,Female,Neither familiar  nor unfamiliar,None,Blame/Praise,Driver,67,tool_exp,negative,SensoryTool
A14EYTLSMJRPUK,active,35 - 44,undergraduate,Male,Somewhat familiar,None,Blame/Praise,Driver,-38,tool_exp,negative,SensoryTool
AUFOO8PU2BK37,active,35 - 44,undergraduate,Female,Neither familiar  nor unfamiliar,None,Blame/Praise,Driver,51,tool_exp,negative,SensoryTool
A3L60SOWLYEDN2,inactive,35 - 44,high school,Male,Somewhat familiar,Moderate,Blame/Praise,Driver,31,tool_exp,negative,SensoryTool
A270A8MZLYEBL,active,25 - 34,high school,Female,Somewhat familiar,A little,Blame/Praise,Driver,-68,tool_exp,negative,SensoryTool
A2CEGS0NVDBCPT,inactive,25 - 34,undergraduate,Female,Somewhat familiar,Moderate,Blame/Praise,Driver,32,tool_exp,negative,SensoryTool
A2KAGQHCC2GW81,inactive,25 - 34,undergraduate,Male,Somewhat familiar,None,Blame/Praise,Driver,79,tool_exp,negative,SensoryTool
APVJEN2541WFB,inactive,25 - 34,high school,Female,Somewhat familiar,None,Blame/Praise,Driver,54,tool_exp,negative,SensoryTool
A2BW6WD7LZ9EGV,active,25 - 34,high school,Male,Somewhat familiar,A little,Blame/Praise,Driver,79,tool_exp,negative,SensoryTool
A6Y7SZU9L301W,active,35 - 44,undergraduate,Male,Somewhat familiar,Moderate,Blame/Praise,Driver,52,tool_exp,negative,SensoryTool
AMIQGW2E3WYO4,inactive,25 - 34,high school,Male,Somewhat familiar,Moderate,Blame/Praise,Driver,98,tool_exp,negative,SensoryTool
A2T1LNI80EPOQR,inactive,25 - 34,undergraduate,Male,Completely familiar,None,Blame/Praise,Driver,35,tool_exp,negative,SensoryTool
A6HDSE80LQPR8,active,35 - 44,undergraduate,Male,Somewhat familiar,A little,Blame/Praise,Driver,100,tool_exp,negative,SensoryTool
A110KENBXU7SUJ,active,45 - 54,high school,Male,Neither familiar  nor unfamiliar,None,Blame/Praise,Driver,22,tool_exp,negative,SensoryTool
A2Y0WNHMT4PZ4C,inactive,45 - 54,high school,Male,Neither familiar  nor unfamiliar,None,Blame/Praise,Driver,100,tool_exp,negative,SensoryTool
A18E16UFE351U6,inactive,35 - 44,high school,Female,Somewhat familiar,None,Blame/Praise,Driver,100,tool_exp,negative,SensoryTool
A3CH1Z6J9R38G9,active,25 - 34,graduate,Male,Neither familiar  nor unfamiliar,A little,Blame/Praise,Driver,-37,tool_exp,negative,SensoryTool
A1G4QY3W5J5PMW,inactive,25 - 34,undergraduate,Male,Somewhat familiar,Moderate,Blame/Praise,Driver,54,tool_exp,negative,SensoryTool
A181HHZC94KPZR,active,35 - 44,undergraduate,Male,Somewhat familiar,A little,Blame/Praise,Driver,35,tool_exp,negative,SensoryTool
ACM3TPZKLE7WC,active,25 - 34,undergraduate,Female,Completely unfamiliar,None,Blame/Praise,Driver,59,tool_exp,negative,SensoryTool
A1RTLF0OVZI4QT,inactive,35 - 44,high school,Male,Somewhat familiar,A little,Blame/Praise,Driver,100,tool_exp,negative,SensoryTool
A7OZPNXIVO1FX,inactive,25 - 34,graduate,Female,Completely familiar,None,Blame/Praise,Driver,47,tool_exp,negative,SensoryTool
A2EAJ7834XI2IT,active,25 - 34,primary school,Male,Completely familiar,None,Blame/Praise,Driver,-28,tool_exp,negative,SensoryTool
AOGXFLXT1BNE9,active,25 - 34,high school,Female,Somewhat familiar,A little,Blame/Praise,Driver,-57,tool_exp,negative,SensoryTool
A3LT7W355XOAKF,inactive,Over 55,undergraduate,Male,Somewhat familiar,Moderate,Blame/Praise,Driver,100,tool_exp,negative,SensoryTool
